Point,Lat,Long
0,40.208495,-73.579878
1,40.208495,-73.502496
2,40.208495,-73.425113
3,40.208495,-73.347730
4,40.208495,-73.270348
5,40.208495,-73.192965
6,40.208495,-73.115582
7,40.208495,-73.038199
8,40.208495,-72.960817
9,40.208495,-72.883434
10,40.208495,-72.806051
11,40.208495,-72.728669
12,40.208495,-72.651286
13,40.208495,-72.573903
14,40.208495,-72.496521
15,40.208495,-72.419138
16,40.208495,-72.341755
17,40.208495,-72.264372
18,40.208495,-72.186990
19,40.208495,-72.109607
20,40.208495,-72.032224
21,40.208495,-71.954842
22,40.208495,-71.877459
23,40.208495,-71.800076
24,40.208495,-71.722694
25,40.271668,-73.579878
26,40.271668,-73.502496
27,40.271668,-73.425113
28,40.271668,-73.347730
29,40.271668,-73.270348
30,40.271668,-73.192965
31,40.271668,-73.115582
32,40.271668,-73.038199
33,40.271668,-72.960817
34,40.271668,-72.883434
35,40.271668,-72.806051
36,40.271668,-72.728669
37,40.271668,-72.651286
38,40.271668,-72.573903
39,40.271668,-72.496521
40,40.271668,-72.419138
41,40.271668,-72.341755
42,40.271668,-72.264372
43,40.271668,-72.186990
44,40.271668,-72.109607
45,40.271668,-72.032224
46,40.271668,-71.954842
47,40.271668,-71.877459
48,40.271668,-71.800076
49,40.271668,-71.722694
50,40.334842,-73.579878
51,40.334842,-73.502496
52,40.334842,-73.425113
53,40.334842,-73.347730
54,40.334842,-73.270348
55,40.334842,-73.192965
56,40.334842,-73.115582
57,40.334842,-73.038199
58,40.334842,-72.960817
59,40.334842,-72.883434
60,40.334842,-72.806051
61,40.334842,-72.728669
62,40.334842,-72.651286
63,40.334842,-72.573903
64,40.334842,-72.496521
65,40.334842,-72.419138
66,40.334842,-72.341755
67,40.334842,-72.264372
68,40.334842,-72.186990
69,40.334842,-72.109607
70,40.334842,-72.032224
71,40.334842,-71.954842
72,40.334842,-71.877459
73,40.334842,-71.800076
74,40.334842,-71.722694
75,40.398015,-73.579878
76,40.398015,-73.502496
77,40.398015,-73.425113
78,40.398015,-73.347730
79,40.398015,-73.270348
80,40.398015,-73.192965
81,40.398015,-73.115582
82,40.398015,-73.038199
83,40.398015,-72.960817
84,40.398015,-72.883434
85,40.398015,-72.806051
86,40.398015,-72.728669
87,40.398015,-72.651286
88,40.398015,-72.573903
89,40.398015,-72.496521
90,40.398015,-72.419138
91,40.398015,-72.341755
92,40.398015,-72.264372
